"","ch","release"
"1","11000000","ham.us"
"2","11000000","ham.us"
"3","11000000","ham.us"
"4","11000000","ham.us"
"5","11000000","ham.us"
"6","11000010","ham.us"
"7","11111000","ham.us"
"8","11000000","ham.us"
"9","11100000","ham.us"
"10","01111011","ham.ds"
"11","01000000","ham.ds"
"12","01000000","ham.ds"
"13","01000010","ham.ds"
"14","01100010","ham.ds"
"15","01101011","ham.ds"
"16","01010000","ham.ds"
"17","01110000","ham.ds"
"18","11000000","ham.us"
"19","11000000","ham.us"
"20","11000000","ham.us"
"21","11000000","ham.us"
"22","11000000","ham.us"
"23","11000000","ham.us"
"24","11000000","ham.us"
"25","01011001","ham.ds"
"26","01000000","ham.ds"
"27","11101010","ham.us"
"28","01000000","ham.ds"
"29","11110000","ham.us"
"30","01111010","ham.ds"
"31","01000000","ham.ds"
"32","01110010","ham.ds"
"33","01000000","ham.ds"
"34","11000000","ham.us"
"35","11101011","ham.us"
"36","11110010","ham.us"
"37","01100000","ham.ds"
"38","01000000","ham.ds"
"39","01000000","ham.ds"
"40","11101000","ham.us"
"41","11000000","ham.us"
"42","11000000","ham.us"
"43","11100001","ham.us"
"44","01110010","ham.ds"
"45","01000010","ham.ds"
"46","11000000","ham.us"
"47","11000000","ham.us"
"48","11000000","ham.us"
"49","11110000","ham.us"
"50","11000000","ham.us"
"51","11000000","ham.us"
"52","11101010","ham.us"
"53","01000000","ham.ds"
"54","01000000","ham.ds"
"55","01000000","ham.ds"
"56","01101011","ham.ds"
"57","01100000","ham.ds"
"58","11000000","ham.us"
"59","11000000","ham.us"
"60","01000000","ham.ds"
"61","01000000","ham.ds"
"62","01000010","ham.ds"
"63","01000000","ham.ds"
"64","11111000","ham.us"
"65","01000000","ham.ds"
"66","11111001","ham.us"
"67","11000000","ham.us"
"68","11101000","ham.ds"
"69","11111000","ham.us"
"70","11000000","ham.us"
"71","11000000","ham.us"
"72","11000000","ham.us"
"73","11101000","ham.us"
"74","11000000","ham.us"
"75","01011010","ham.ds"
"76","01000000","ham.ds"
"77","01000010","ham.ds"
"78","11000000","ham.us"
"79","01000000","ham.ds"
"80","11101010","ham.us"
"81","11000000","ham.us"
"82","11100010","ham.us"
"83","01110111","ham.ds"
"84","01000000","ham.ds"
"85","01000010","ham.ds"
"86","01000000","ham.ds"
"87","01000000","ham.ds"
"88","01000000","ham.ds"
"89","01000000","ham.ds"
"90","11000000","ham.us"
"91","11000010","ham.us"
"92","11000000","ham.us"
"93","11000000","ham.us"
"94","11100000","ham.us"
"95","01001010","ham.ds"
"96","01000000","ham.ds"
"97","11000001","ham.us"
"98","11000000","ham.us"
"99","01000000","ham.ds"
"100","01000000","ham.ds"
"101","11000000","ham.us"
"102","01000000","ham.ds"
"103","01000000","ham.ds"
"104","11000000","ham.us"
"105","01000000","ham.ds"
"106","01110000","ham.ds"
"107","01000000","ham.ds"
"108","11000000","ham.us"
"109","01100110","ham.ds"
"110","10000000","ham.us"
"111","11000000","ham.ds"
"112","01000000","ham.ds"
"113","01000000","ham.ds"
"114","01000000","ham.ds"
"115","01100000","ham.ds"
"116","01000000","ham.ds"
"117","01000000","ham.ds"
"118","11000000","ham.ds"
"119","11100010","ham.ds"
"120","11000000","ham.us"
"121","11000000","ham.us"
"122","01100000","ham.ds"
"123","11000010","ham.ds"
"124","10000000","ham.us"
"125","01010000","ham.ds"
"126","01101010","ham.ds"
"127","01000000","ham.ds"
"128","01000000","ham.ds"
"129","01000000","ham.ds"
"130","01100000","ham.ds"
"131","01000000","ham.ds"
"132","01000000","ham.ds"
"133","01100010","ham.ds"
"134","01000000","ham.ds"
"135","01000000","ham.ds"
"136","11000000","ham.ds"
"137","11000000","ham.ds"
"138","11100000","ham.us"
"139","11101011","ham.us"
"140","01000000","ham.ds"
"141","11000000","ham.us"
"142","01000000","ham.us"
"143","11000000","ham.ds"
"144","01100000","ham.us"
"145","11000000","ham.ds"
"146","01000000","ham.ds"
"147","10000000","ham.us"
"148","01000000","ham.us"
"149","01001000","ham.us"
"150","01000000","ham.ds"
"151","01000010","ham.ds"
"152","11000000","ham.us"
"153","11000000","ham.us"
"154","01000000","ham.ds"
"155","01000000","ham.ds"
"156","01000000","ham.ds"
"157","11000000","ham.us"
"158","01000000","ham.ds"
"159","10000000","ham.us"
"160","01000000","ham.ds"
"161","01110000","ham.ds"
"162","01000000","ham.ds"
"163","11000000","ham.us"
"164","10000000","ham.us"
"165","11000000","ham.us"
"166","11001011","ham.us"
"167","01000000","ham.ds"
"168","01000000","ham.ds"
"169","01000000","ham.ds"
"170","11000000","ham.us"
"171","11000000","ham.us"
"172","01100000","ham.ds"
"173","11000010","ham.us"
"174","01000000","ham.ds"
"175","11000000","ham.us"
"176","01000000","ham.ds"
"177","11010000","ham.us"
"178","11000000","ham.us"
"179","11000000","ham.us"
"180","01000000","ham.ds"
"181","11000000","ham.us"
"182","11000000","ham.us"
"183","01000000","ham.ds"
"184","01000000","ham.ds"
"185","11000000","ham.us"
"186","11101010","ham.us"
"187","11000000","ham.us"
"188","11000000","ham.us"
"189","11000000","ham.us"
"190","11000000","ham.us"
"191","11000000","ham.us"
"192","01000000","ham.ds"
"193","11100000","ham.us"
"194","01000000","ham.ds"
"195","11100001","ham.us"
"196","11000000","ham.us"
"197","11000000","ham.us"
"198","01000000","ham.us"
"199","01000000","ham.us"
"200","10000000","ham.us"
"201","11000000","ham.us"
"202","01000000","ham.us"
"203","11001010","ham.us"
