"","tagID","n","sensor"
"1","1044",2,"Yes"
"2","10566",2,"No"
"3","1057",2,"No"
"4","10657",2,"No"
"5","10754",2,"No"
"6","10793",3,"No"
"7","11058",3,"No"
"8","11447",2,"No"
"9","11554",4,"No"
"10","11701",4,"No"
"11","11760",2,"No"
"12","11947",2,"Yes"
"13","12127",3,"No"
"14","12188",2,"No"
"15","12200",2,"No"
"16","12298",3,"No"
"17","12405",3,"No"
"18","1252",3,"No"
"19","12764",2,"No"
"20","12797",2,"No"
"21","1298",3,"No"
"22","1325",2,"No"
"23","13260",2,"No"
"24","1379",3,"No"
"25","139",2,"No"
"26","13945",2,"No"
"27","13980",3,"No"
"28","14057",2,"Yes"
"29","14393",2,"No"
"30","14583",2,"No"
"31","14602",2,"No"
"32","14605",2,"No"
"33","14733",2,"No"
"34","1484",2,"No"
"35","15031",3,"No"
"36","15202",3,"No"
"37","15386",2,"No"
"38","15653",3,"No"
"39","15655",2,"No"
"40","15845",3,"Yes"
"41","15920",2,"No"
"42","15930",2,"No"
"43","15988",2,"No"
"44","1632",2,"No"
"45","1635",2,"No"
"46","16411",3,"No"
"47","16758",2,"No"
"48","16875",2,"No"
"49","16928",2,"No"
"50","16961",2,"No"
"51","17012",4,"No"
"52","1709",3,"No"
"53","17197",2,"No"
"54","1721",2,"Yes"
"55","17256",2,"No"
"56","1746",2,"No"
"57","17746",2,"No"
"58","17954",2,"No"
"59","17993",2,"No"
"60","18116",2,"No"
"61","18144",2,"No"
"62","18149",2,"No"
"63","18217",2,"No"
"64","18325",2,"No"
"65","18640",2,"No"
"66","18655",26,"No"
"67","18733",3,"No"
"68","19085",2,"No"
"69","19091",3,"No"
"70","19296",2,"No"
"71","19311",2,"No"
"72","19417",2,"No"
"73","19544",4,"No"
"74","1975",2,"No"
"75","19964",2,"No"
"76","19986",11,"No"
"77","20132",5,"No"
"78","20366",2,"No"
"79","20393",3,"No"
"80","20547",2,"No"
"81","20839",2,"No"
"82","21003",2,"No"
"83","21116",2,"No"
"84","21288",2,"No"
"85","21303",2,"No"
"86","21431",2,"No"
"87","21521",2,"No"
"88","2172",2,"No"
"89","21772",2,"No"
"90","21835",2,"No"
"91","21960",2,"No"
"92","22046",2,"No"
"93","22118",2,"No"
"94","22144",2,"No"
"95","22263",3,"No"
"96","22301",2,"No"
"97","22412",2,"No"
"98","22577",2,"No"
"99","22698",2,"No"
"100","22702",3,"No"
"101","22735",3,"No"
"102","22864",2,"No"
"103","229",2,"Yes"
"104","22979",2,"No"
"105","22994",2,"No"
"106","22995",2,"No"
"107","23046",2,"No"
"108","23190",2,"No"
"109","23215",2,"No"
"110","23299",2,"No"
"111","23798",2,"No"
"112","23871",2,"No"
"113","24",5,"No"
"114","24085",2,"No"
"115","24106",3,"No"
"116","24113",2,"No"
"117","24234",2,"No"
"118","24326",5,"No"
"119","24748",2,"No"
"120","24874",2,"No"
"121","25182",2,"No"
"122","25198",2,"No"
"123","25235",3,"No"
"124","25249",3,"No"
"125","25290",2,"No"
"126","25318",2,"No"
"127","25497",2,"No"
"128","257",2,"No"
"129","25867",3,"No"
"130","2588",2,"No"
"131","26242",2,"No"
"132","26382",7,"No"
"133","26390",2,"No"
"134","2641",3,"Yes"
"135","26463",5,"No"
"136","2647",2,"No"
"137","26701",3,"No"
"138","26783",3,"No"
"139","2686",2,"No"
"140","26911",6,"No"
"141","27004",2,"No"
"142","27213",2,"No"
"143","27293",4,"No"
"144","27298",3,"No"
"145","27384",3,"No"
"146","27410",2,"No"
"147","27430",2,"No"
"148","27485",2,"No"
"149","275",3,"No"
"150","2767",4,"No"
"151","27755",2,"No"
"152","27817",6,"No"
"153","28035",2,"No"
"154","28073",3,"No"
"155","28191",2,"No"
"156","28676",2,"No"
"157","28688",5,"No"
"158","28909",2,"No"
"159","28991",3,"No"
"160","29012",2,"No"
"161","29147",3,"No"
"162","29308",2,"No"
"163","29502",2,"No"
"164","2963",2,"No"
"165","29700",2,"No"
"166","29896",4,"No"
"167","29964",2,"No"
"168","30331",2,"No"
"169","30425",3,"No"
"170","30511",2,"No"
"171","30529",2,"No"
"172","30534",2,"No"
"173","30683",2,"No"
"174","30767",3,"No"
"175","31371",2,"No"
"176","3148",2,"No"
"177","31509",2,"No"
"178","31514",2,"No"
"179","31549",2,"No"
"180","31769",3,"No"
"181","31800",3,"No"
"182","31967",2,"No"
"183","31983",2,"No"
"184","321",3,"No"
"185","32289",3,"No"
"186","32527",2,"No"
"187","3255",2,"No"
"188","33104",2,"No"
"189","33298",2,"No"
"190","33368",3,"No"
"191","33463",3,"No"
"192","33473",5,"No"
"193","33832",2,"No"
"194","33860",2,"No"
"195","33928",3,"No"
"196","342",2,"No"
"197","34482",2,"No"
"198","34669",2,"No"
"199","34695",2,"No"
"200","34713",2,"No"
"201","34731",3,"No"
"202","35152",2,"No"
"203","35489",2,"No"
"204","35502",2,"No"
"205","35688",2,"No"
"206","36239",3,"No"
"207","36374",2,"No"
"208","36633",2,"No"
"209","3670",2,"No"
"210","37",2,"No"
"211","37088",3,"No"
"212","37322",2785,"No"
"213","37448",363,"No"
"214","37450",83,"No"
"215","3751",3,"Yes"
"216","37641",2,"No"
"217","37994",3,"No"
"218","38173",3,"No"
"219","38276",2,"No"
"220","38345",2,"No"
"221","38610",2,"No"
"222","38767",2,"No"
"223","38835",2,"No"
"224","38974",2,"No"
"225","39050",2,"No"
"226","39306",3,"No"
"227","39339",2,"No"
"228","39618",2,"No"
"229","39673",2,"No"
"230","39750",2,"No"
"231","39937",5,"No"
"232","39954",3,"No"
"233","40028",2,"No"
"234","4006",2,"No"
"235","40114",2,"No"
"236","40131",2,"No"
"237","40237",2,"No"
"238","40326",7,"No"
"239","40402",2,"No"
"240","40431",2,"No"
"241","40652",2,"No"
"242","40795",2,"No"
"243","4139",2,"No"
"244","41430",4,"No"
"245","41437",2,"No"
"246","41499",2,"No"
"247","41598",3,"No"
"248","41601",2,"No"
"249","41848",3,"No"
"250","41859",2,"No"
"251","41928",3,"No"
"252","42065",3,"No"
"253","42074",2,"No"
"254","42157",2,"No"
"255","42333",3,"No"
"256","42346",2,"No"
"257","42422",2,"No"
"258","42501",2,"No"
"259","42664",2,"No"
"260","42735",2,"No"
"261","42778",3,"No"
"262","42803",2,"No"
"263","42856",2,"No"
"264","42864",2,"No"
"265","42964",2,"No"
"266","43019",2,"No"
"267","4328",2,"No"
"268","4329",3,"No"
"269","43306",2,"No"
"270","43361",3,"No"
"271","43518",2,"No"
"272","43716",2,"No"
"273","43730",2,"No"
"274","43867",3,"No"
"275","44204",2,"No"
"276","44266",2,"No"
"277","4442",2,"No"
"278","44426",2,"No"
"279","4445",2,"No"
"280","44575",3,"No"
"281","44577",2,"No"
"282","44586",5,"No"
"283","44820",2,"No"
"284","44823",7,"No"
"285","44914",2,"No"
"286","44920",2,"No"
"287","450",2,"No"
"288","45090",3,"No"
"289","45133",3,"No"
"290","45202",4,"No"
"291","4527",2,"No"
"292","45539",2,"No"
"293","45560",6,"No"
"294","45747",5,"No"
"295","45970",3,"No"
"296","4624",3,"No"
"297","46249",3,"No"
"298","4632",2,"No"
"299","46496",2,"No"
"300","46518",2,"No"
"301","46550",2,"No"
"302","4659",2,"No"
"303","46977",2,"No"
"304","4765",2,"No"
"305","48134",2,"No"
"306","48169",2,"No"
"307","48181",2,"No"
"308","48414",2,"No"
"309","4848",2,"No"
"310","4863",2,"No"
"311","48790",5,"No"
"312","48981",3,"No"
"313","49002",2,"No"
"314","49222",2,"No"
"315","4933",2,"No"
"316","49352",2,"No"
"317","49390",3,"No"
"318","49428",4,"No"
"319","4972",2,"No"
"320","49862",2,"No"
"321","50115",3,"No"
"322","5027",2,"No"
"323","50308",2,"No"
"324","50429",2,"No"
"325","50597",2,"No"
"326","50748",2,"No"
"327","509",2,"No"
"328","51022",3,"No"
"329","5120",3,"Yes"
"330","51284",3,"No"
"331","51316",2,"No"
"332","51351",2,"No"
"333","51603",2,"No"
"334","5166",2,"No"
"335","51754",2,"No"
"336","51759",2,"No"
"337","51867",2,"No"
"338","52073",4,"No"
"339","52152",2,"No"
"340","52159",8,"No"
"341","5245",2,"No"
"342","52583",2,"No"
"343","52753",3,"No"
"344","52767",2,"No"
"345","52771",2,"No"
"346","52789",5,"No"
"347","5285",2,"No"
"348","52955",2,"No"
"349","52961",2,"No"
"350","52998",2,"No"
"351","5305",2,"No"
"352","53212",3,"No"
"353","53284",2,"No"
"354","53441",3,"No"
"355","5345",2,"No"
"356","5352",2,"No"
"357","53661",2,"No"
"358","53878",2,"No"
"359","53988",2,"No"
"360","54411",2,"No"
"361","54567",2,"No"
"362","5493",4,"No"
"363","55093",2,"No"
"364","55103",2,"No"
"365","55207",2,"No"
"366","55225",4,"No"
"367","55245",2,"No"
"368","55259",5,"No"
"369","55822",4,"No"
"370","55825",4,"No"
"371","55885",2,"No"
"372","55962",3,"No"
"373","56039",2,"No"
"374","56111",2,"No"
"375","56128",2,"No"
"376","56437",4,"No"
"377","56556",2,"No"
"378","56602",2,"No"
"379","56760",2,"No"
"380","56763",2,"No"
"381","56791",2,"No"
"382","56979",2,"No"
"383","57031",2,"No"
"384","57048",2,"No"
"385","57095",3,"No"
"386","57125",5,"No"
"387","57160",2,"No"
"388","57189",6,"No"
"389","57286",3,"No"
"390","57314",3,"No"
"391","57497",2,"No"
"392","57857",2,"No"
"393","57968",2,"No"
"394","58065",2,"No"
"395","58095",2,"No"
"396","58107",2,"No"
"397","58135",2,"No"
"398","58393",2,"No"
"399","58852",6,"No"
"400","58864",2,"No"
"401","59199",2,"No"
"402","59371",2,"No"
"403","59403",2,"No"
"404","5962",2,"No"
"405","59805",2,"No"
"406","59922",3,"No"
"407","60044",2,"No"
"408","60054",4,"No"
"409","60281",3,"No"
"410","60305",2,"No"
"411","60427",2,"No"
"412","60604",6,"No"
"413","60696",3,"No"
"414","60776",2,"No"
"415","61029",3,"No"
"416","61206",4,"No"
"417","61409",2,"No"
"418","61671",2,"No"
"419","6169",3,"No"
"420","61727",2,"No"
"421","61863",2,"No"
"422","61866",149,"No"
"423","62037",2,"No"
"424","6211",2,"No"
"425","62136",2,"No"
"426","62139",3,"No"
"427","6239",3,"No"
"428","62398",2,"No"
"429","62471",3,"No"
"430","62662",6,"No"
"431","62760",2,"No"
"432","6279",3,"No"
"433","62816",2,"No"
"434","62849",2,"No"
"435","62967",3,"No"
"436","62994",2,"No"
"437","63193",2,"No"
"438","63820",4,"No"
"439","63949",2,"No"
"440","64155",2,"No"
"441","64305",3,"No"
"442","64506",2,"No"
"443","64642",2,"No"
"444","64686",2,"No"
"445","64758",3,"No"
"446","64885",2,"No"
"447","65125",2,"No"
"448","652",2,"No"
"449","65231",2,"No"
"450","6543",2,"No"
"451","65431",3,"No"
"452","65453",4,"No"
"453","65526",3,"No"
"454","6579",2,"No"
"455","659",6,"No"
"456","6878",2,"No"
"457","6989",2,"Yes"
"458","7014",2,"No"
"459","702",2,"No"
"460","7036",2,"No"
"461","7045",2,"No"
"462","7097",3,"No"
"463","716",2,"No"
"464","7198",2,"No"
"465","7437",3,"No"
"466","75",3,"No"
"467","7526",2,"No"
"468","764",4,"No"
"469","7681",2,"No"
"470","797",2,"No"
"471","8062",3,"No"
"472","8187",3,"No"
"473","8395",2,"No"
"474","8915",2,"No"
"475","9027",2,"No"
"476","9033",2,"No"
"477","9048",2,"No"
"478","9173",3,"No"
"479","9196",2,"No"
"480","9258",2,"No"
"481","9284",5,"No"
"482","9574",2,"No"
"483","963",3,"No"
"484","9671",9,"No"
"485","9679",2,"No"
"486","9729",2,"No"
"487","9771",2,"No"
"488","9826",3,"No"
