date,trough.section,trough.temp,release.location,tank.temp.arrival,site.temp,departure.time,arrival.time,release.time,site.do,site.TDG,Notes
2024-05-09,A,10,ham.us,11,15,14:00,14:30,15:00,60,,fish not tempered up properly
2024-05-09,B,10,ham.us,11,15,14:00,14:30,15:45,70,,fish not tempered up properly
2024-05-10,D,10,hat.us,11,18,10:00,11:30,11:45,look onlogger,,fish  tempered to 15 over a few minute and then let go to behaviourally relgulate
2024-05-10,E,10,hat.ds,11,18,10:00,11:30,12:00,look onlogger,,fish  tempered to 15 over a few minute and then let go to behaviourally relgulate
2024-05-14,A,10,ham.us,11.2,16,10:44,10:57,12:10,60,776,
2024-05-14,B,10,ham.ds,11.2,17,10:44,10:57,12:57,60,779,
2024-05-14,C,10.8,ham.us,11.8,17,14:13,14:25,15:56,60,767,
2024-05-14,D,10.8,ham.ds,11.8,17,14:13,14:25,16:00,60,773,
2024-05-15,A,10.4,hat.us,10.1,18.9,8:49,9:22,11:58,135,,
2024-05-15,B,10.4,hat.ds,10.1,18.9,8:49,9:22,11:46,135,,
2024-05-15,C,11.3,hat.us,10.9,20.2,13:26,13:57,16:15,117,,
2024-05-15,D,11.3,hat.ds,10.9,20.2,13:26,13:57,16:23,117,,
2024-05-16,A,9.9,ham.us,10,14.5,8:54,9:07,10:15,63.7,,
2024-05-16,B,9.9,ham.ds,10,14.5,8:54,9:07,10:15,63.7,,
2024-05-16,C,10.2,ham.us,10.2,14.5,11.14,11:27,12:26,92.6,,
2024-05-16,D,10.2,ham.ds,10.2,14.5,11.14,11:27,12:26,92.6,,
2024-05-17,A,10.5,ham.ds,9.6,13,9:03,9:26,10:15,45.2,,
2024-05-17,B,10.5,ham.us,9.6,13,9:03,9:26,10:15,45.2,,
2024-05-17,C,10.7,ham.ds,9.7,13,10:56,11:09,12:00,92.8,770,
2024-05-17,D,10.7,ham.us,9.7,13,10:56,11:09,12:05,92.8,,
