serial.number,reciever.code,easting,northing,location.description,Site
108651,hat2,555870,5443701,hatzic bedford forebay,hatzic
108658,ham2,583238,5454438,hammersley forebay infront of pumps,hammersley
108660,ham3,583249.97,5454431,hammersley floodgate us tied to stairs,hammersley
108650,hat3,555790,5443648,on piling in hatzic old pump forebay,hatzic
108647,ham4,583273,5454376,hammersley floodgate downstream between gates,hammersley
108655,hat5,555653,5443650,hatzic floodgate ds,hatzic
108649,hat1,556340,5443771,hatzic upstream in channel,hatzic
101503,ham5,583216,5454322,hammersley ds pump? ,hammersley
108643,hat6,555606,5443626,hatzic ds pumps,hatzic
105458,ham7,583231,5454272,deep in middle of channel ds/pump,hammersley
no number?,ham6,583288,5454079,hammersley piling at the fraser confluence,hammersley
480051,hat4,555644,5443635,hatzic deep middle of channel ds,hatzic
no number?,ham1,583199,5454428,upstream under bridge,hammersley
