release.date,release.time,id.prefix,last.four,treatment,release.location
2024-05-23,11:40,384.3A70C4FD5B,fd5b,control,ham.ds
2024-05-23,11:40,384.3A70C4FD1C,fd1c,control,ham.ds
2024-05-23,11:40,384.3A70C4F9C3,f9c3,control,ham.ds
2024-05-23,11:40,384.3A70C4FBFB,fbfb,control,ham.ds
2024-05-23,11:40,384.3A70C4F9A0,f9a0,control,ham.ds
2024-05-23,11:40,384.3A70C4F8ED,f8ed,control,ham.ds
2024-05-23,11:40,384.3A70C4FCC6,fcc6,control,ham.ds
2024-05-23,11:40,384.3A70C4FCA6,fca6,control,ham.ds
2024-05-23,11:40,384.3A70C4FA48,fa48,control,ham.ds
2024-05-23,11:40,384.3A70C4FA02,fa02,control,ham.ds
2024-05-23,11:40,384.3A70C4FD2D,fd2d,control,ham.ds
2024-05-23,11:40,384.3A70C4FDCB,fdcb,control,ham.ds
2024-05-23,11:40,384.3A70C4FD22,fd22,control,ham.ds
2024-05-23,11:40,384.3A70C4FD57,fd57,control,ham.ds
2024-05-23,11:40,384.3A70C4FC8B,fc8b,control,ham.ds
2024-05-23,11:40,384.3A70C4FA00,fa00,control,ham.ds
2024-05-23,11:40,384.3A70C4F9FB,f9fb,control,ham.ds
2024-05-23,11:40,384.3A70C4F9B5,f9b5,control,ham.ds
2024-05-23,11:40,384.3A70C4FA1C,fa1c,control,ham.ds
2024-05-23,11:40,384.3A70C4FCB0,fcb0,control,ham.ds
2024-05-23,11:40,384.3A70C4FD56,fd56,control,ham.ds
2024-05-23,11:40,384.3A70C4FD78,fd78,control,ham.ds
2024-05-23,11:40,384.3A70C4F99B,f99b,control,ham.ds
2024-05-23,11:40,384.3A70C4FD28,fd28,control,ham.ds
2024-05-23,11:40,384.3A70C4F8EF,f8ef,control,ham.ds
2024-05-23,11:40,384.3A70C4F9DF,f9df,control,ham.ds
2024-05-23,11:40,384.3A70C4FC53,fc53,control,ham.ds
2024-05-23,11:40,384.3A70C4FA37,fa37,control,ham.ds
2024-05-23,11:40,384.3A70C4FCF9,fcf9,control,ham.ds
2024-05-23,11:40,384.3A70C4FC73,fc73,control,ham.ds
2024-05-23,11:40,384.3A70C4FCC8,fcc8,control,ham.ds
2024-05-23,11:40,384.3A70C4FA99,fa99,control,ham.ds
2024-05-23,11:40,384.3A70C4F981,f981,control,ham.ds
2024-05-23,11:40,384.3A70C4FDEE,fdee,control,ham.ds
2024-05-23,11:40,384.3A70C4FD88,fd88,control,ham.ds
2024-05-23,11:40,384.3A70C4FE68,fe68,control,ham.ds
2024-05-23,11:40,384.3A70C4FDE0,fde0,control,ham.ds
2024-05-23,11:40,384.3A70C4FDE0,fd87,control,ham.ds
